call_id,started_at,language,intent,claim_id,agent_version,asr_confidence_avg,duration_sec,avg_response_ms,outcome,transfer_reason
C-20260817-00042,2026-08-17 11:45:28,en,renewal_premium,,v14,0.973,101,381,transferred_human,out_of_scope
C-20260817-00043,2026-08-17 13:01:46,en,renewal_premium,,v14,0.86,163,361,transferred_human,escalation_policy
C-20260817-00044,2026-08-17 18:26:14,en,claim_status,CL8339037,v14,0.99,80,393,contained,
C-20260817-00045,2026-08-17 17:49:01,en,renewal_premium,,v14,0.965,113,425,contained,
C-20260817-00046,2026-08-17 16:19:41,en,network_hospital,,v14,0.99,175,384,contained,
C-20260817-00047,2026-08-17 12:12:02,en,renewal_premium,,v14,0.984,195,377,transferred_human,caller_requested_human
C-20260817-00048,2026-08-17 18:36:59,en,policy_details,,v14,0.921,151,460,transferred_human,out_of_scope
C-20260817-00049,2026-08-17 10:00:48,en,claim_status,CL8368991,v14,0.915,82,341,contained,
C-20260817-00050,2026-08-17 12:58:23,hi,claim_status,CL8729380,v14,0.842,159,306,contained,
C-20260817-00051,2026-08-17 14:16:23,en,network_hospital,,v14,0.97,147,652,transferred_human,out_of_scope
C-20260817-00052,2026-08-17 09:58:58,en,renewal_premium,,v14,0.948,193,461,abandoned,
C-20260817-00053,2026-08-17 11:13:20,en,renewal_premium,,v14,0.886,71,478,contained,
C-20260817-00054,2026-08-17 13:26:13,en,policy_details,,v14,0.99,105,548,contained,
C-20260817-00055,2026-08-17 12:57:21,en,renewal_premium,,v14,0.923,172,492,contained,
C-20260817-00056,2026-08-17 20:24:23,hi,network_hospital,,v14,0.913,96,469,contained,
C-20260817-00057,2026-08-17 17:04:12,en,claim_status,CL7121965,v14,0.887,70,333,contained,
C-20260817-00058,2026-08-17 12:23:42,en,network_hospital,,v14,0.99,58,446,contained,
C-20260817-00059,2026-08-17 13:54:39,en,network_hospital,,v14,0.974,152,432,contained,
C-20260817-00060,2026-08-17 16:44:37,en,renewal_premium,,v14,0.875,134,511,transferred_human,out_of_scope
C-20260817-00061,2026-08-17 13:04:26,hi,policy_details,,v14,0.873,113,352,contained,
C-20260817-00062,2026-08-17 13:07:29,en,claim_status,CL8474372,v14,0.984,138,435,contained,
C-20260817-00063,2026-08-17 15:14:18,en,claim_status,CL8369468,v14,0.923,115,371,transferred_human,out_of_scope
C-20260817-00064,2026-08-17 18:57:29,en,network_hospital,,v14,0.958,149,486,contained,
C-20260817-00065,2026-08-17 11:07:01,en,network_hospital,,v14,0.946,122,485,contained,
C-20260817-00066,2026-08-17 14:49:02,en,claim_status,CL7215271,v14,0.907,125,425,contained,
C-20260817-00067,2026-08-17 20:00:22,en,network_hospital,,v14,0.935,69,440,contained,
C-20260817-00068,2026-08-17 12:38:36,en,renewal_premium,,v14,0.822,150,545,transferred_human,agent_could_not_resolve
C-20260817-00069,2026-08-17 18:07:39,en,claim_status,CL7126060,v14,0.945,94,422,contained,
C-20260817-00070,2026-08-17 19:10:08,en,claim_status,CL7291143,v14,0.919,152,513,contained,
C-20260817-00071,2026-08-17 14:40:04,hi,claim_status,CL7323938,v14,0.768,136,465,transferred_human,escalation_policy
C-20260817-00072,2026-08-17 15:49:53,en,renewal_premium,,v14,0.898,96,434,contained,
C-20260817-00073,2026-08-17 14:04:47,en,claim_status,CL8641319,v14,0.976,108,364,contained,
C-20260817-00074,2026-08-17 10:34:30,en,renewal_premium,,v14,0.942,129,421,contained,
C-20260817-00075,2026-08-17 18:46:30,en,renewal_premium,,v14,0.964,164,393,transferred_human,agent_could_not_resolve
C-20260817-00076,2026-08-17 09:32:59,en,renewal_premium,,v14,0.901,173,445,transferred_human,out_of_scope
C-20260817-00077,2026-08-17 11:50:35,en,claim_status,CL7372418,v14,0.914,119,464,contained,
C-20260817-00078,2026-08-17 12:43:53,en,renewal_premium,,v14,0.913,175,340,contained,
C-20260817-00079,2026-08-17 11:43:30,en,renewal_premium,,v14,0.889,139,623,contained,
C-20260817-00080,2026-08-17 13:32:03,en,renewal_premium,,v14,0.917,215,373,transferred_human,caller_requested_human
C-20260817-00081,2026-08-17 11:24:37,hi,renewal_premium,,v14,0.952,69,562,contained,
C-20260817-00082,2026-08-17 16:22:01,en,renewal_premium,,v14,0.983,81,440,contained,
C-20260817-00083,2026-08-17 12:33:54,en,network_hospital,,v14,0.897,128,370,contained,
C-20260817-00084,2026-08-17 11:42:17,en,policy_details,,v14,0.878,147,409,contained,
C-20260817-00085,2026-08-17 13:28:18,en,claim_status,CL8133833,v14,0.967,131,414,abandoned,
C-20260817-00086,2026-08-17 18:17:07,hi,claim_status,CL7194127,v14,0.855,160,281,contained,
C-20260817-00087,2026-08-17 11:33:13,en,network_hospital,,v14,0.908,162,442,contained,
C-20260817-00088,2026-08-17 15:14:35,en,renewal_premium,,v14,0.897,153,401,contained,
C-20260817-00089,2026-08-17 19:10:07,en,renewal_premium,,v14,0.855,179,515,transferred_human,caller_requested_human
C-20260817-00090,2026-08-17 17:14:30,en,network_hospital,,v14,0.882,151,640,contained,
C-20260817-00091,2026-08-17 10:17:14,hi,network_hospital,,v14,0.913,151,557,contained,
C-20260817-00092,2026-08-17 17:43:53,hi,claim_status,CL7087858,v14,0.825,107,529,contained,
C-20260817-00093,2026-08-17 12:01:27,en,policy_details,,v14,0.983,169,632,contained,
C-20260817-00094,2026-08-17 14:49:30,en,claim_status,CL7187836,v14,0.903,121,523,contained,
C-20260817-00095,2026-08-17 12:52:55,hi,claim_status,CL7572089,v14,0.84,176,660,transferred_human,out_of_scope
C-20260817-00096,2026-08-17 10:09:58,en,policy_details,,v14,0.92,159,481,transferred_human,agent_could_not_resolve
C-20260817-00097,2026-08-17 14:42:25,en,network_hospital,,v14,0.953,137,1314,contained,
C-20260817-00098,2026-08-17 12:36:01,hi,network_hospital,,v14,0.91,102,339,contained,
C-20260817-00099,2026-08-17 15:31:50,en,claim_status,CL8597907,v14,0.954,123,548,transferred_human,caller_requested_human
C-20260817-00100,2026-08-17 12:04:44,hi,claim_status,CL7398111,v14,0.901,209,470,contained,
C-20260817-00101,2026-08-17 19:45:50,en,claim_status,CL8379327,v14,0.99,65,250,contained,
C-20260817-00102,2026-08-17 17:12:30,en,renewal_premium,,v14,0.965,138,411,contained,
C-20260817-00103,2026-08-17 13:32:47,en,claim_status,CL8442458,v14,0.982,137,587,contained,
C-20260817-00104,2026-08-17 19:41:15,en,renewal_premium,,v14,0.856,184,571,transferred_human,agent_could_not_resolve
C-20260817-00105,2026-08-17 11:36:06,en,policy_details,,v14,0.944,104,410,contained,
C-20260817-00106,2026-08-17 15:21:10,en,policy_details,,v14,0.99,130,351,transferred_human,agent_could_not_resolve
C-20260817-00107,2026-08-17 19:45:15,en,renewal_premium,,v14,0.955,180,439,contained,
C-20260817-00108,2026-08-17 18:30:55,en,network_hospital,,v14,0.928,85,414,contained,
C-20260817-00109,2026-08-17 12:44:54,en,renewal_premium,,v14,0.918,99,538,contained,
C-20260817-00110,2026-08-17 16:23:56,en,policy_details,,v14,0.85,174,481,contained,
C-20260817-00111,2026-08-17 19:16:18,en,policy_details,,v14,0.927,110,1153,contained,
C-20260817-00112,2026-08-17 10:05:05,en,claim_status,CL7373131,v14,0.952,196,361,transferred_human,agent_could_not_resolve
C-20260817-00113,2026-08-17 18:23:12,en,network_hospital,,v14,0.895,234,309,contained,
C-20260817-00114,2026-08-17 15:00:19,hi,claim_status,CL7976727,v14,0.767,51,531,contained,
C-20260817-00115,2026-08-17 15:40:28,en,policy_details,,v14,0.825,124,408,contained,
C-20260817-00116,2026-08-17 09:30:37,en,claim_status,CL7835567,v14,0.906,120,529,contained,
C-20260817-00117,2026-08-17 19:42:14,en,claim_status,CL8189822,v14,0.99,88,459,contained,
C-20260817-00118,2026-08-17 20:23:14,en,claim_status,CL8414753,v14,0.931,152,482,contained,
C-20260817-00119,2026-08-17 20:42:56,en,renewal_premium,,v14,0.896,123,1797,contained,
C-20260817-00120,2026-08-17 12:26:33,hi,renewal_premium,,v14,0.878,254,246,contained,
C-20260817-00121,2026-08-17 12:34:35,en,renewal_premium,,v14,0.954,104,478,contained,
C-20260817-00122,2026-08-17 19:46:06,hi,policy_details,,v14,0.91,83,374,contained,
C-20260817-00123,2026-08-17 18:28:26,en,network_hospital,,v14,0.951,164,505,contained,
C-20260817-00124,2026-08-17 17:38:55,en,claim_status,CL8451538,v14,0.867,168,462,abandoned,
C-20260817-00125,2026-08-17 12:18:49,en,claim_status,CL8917209,v14,0.869,201,393,transferred_human,agent_could_not_resolve
C-20260817-00126,2026-08-17 12:48:02,hi,network_hospital,,v14,0.814,147,353,contained,
C-20260817-00127,2026-08-17 12:02:02,en,policy_details,,v14,0.936,99,462,contained,
C-20260817-00128,2026-08-17 19:27:52,en,claim_status,CL8633676,v14,0.988,25,497,contained,
C-20260817-00129,2026-08-17 14:08:31,en,claim_status,CL7450263,v14,0.947,147,354,transferred_human,caller_requested_human
C-20260817-00130,2026-08-17 09:03:32,en,claim_status,CL7457720,v14,0.939,84,328,contained,
C-20260817-00131,2026-08-17 13:20:01,en,claim_status,CL7783898,v14,0.941,109,372,contained,
C-20260817-00132,2026-08-17 13:00:11,hi,renewal_premium,,v14,0.834,144,458,transferred_human,agent_could_not_resolve
C-20260817-00133,2026-08-17 14:16:00,en,network_hospital,,v14,0.986,95,450,contained,
C-20260817-00134,2026-08-17 12:59:56,en,claim_status,CL7355692,v14,0.951,179,207,contained,
C-20260817-00135,2026-08-17 12:01:17,en,policy_details,,v14,0.947,137,360,contained,
C-20260817-00136,2026-08-17 11:20:30,hi,claim_status,CL8030770,v14,0.832,190,598,transferred_human,agent_could_not_resolve
C-20260817-00137,2026-08-17 13:45:55,en,claim_status,CL8306623,v14,0.99,112,513,contained,
C-20260817-00138,2026-08-17 17:59:41,en,policy_details,,v14,0.813,87,373,contained,
C-20260817-00139,2026-08-17 17:26:24,hi,policy_details,,v14,0.861,137,344,contained,
C-20260817-00140,2026-08-17 18:26:52,en,renewal_premium,,v14,0.806,114,554,contained,
C-20260817-00141,2026-08-17 10:00:38,en,claim_status,CL8310750,v14,0.915,144,372,abandoned,
C-20260817-00142,2026-08-17 12:27:45,en,network_hospital,,v14,0.922,154,447,contained,
C-20260817-00143,2026-08-17 13:58:32,en,renewal_premium,,v14,0.924,112,484,contained,
C-20260817-00144,2026-08-17 12:19:01,en,policy_details,,v14,0.923,112,389,contained,
C-20260817-00145,2026-08-17 16:33:23,en,network_hospital,,v14,0.925,103,432,contained,
C-20260817-00146,2026-08-17 19:35:09,hi,network_hospital,,v14,0.881,130,373,contained,
C-20260817-00147,2026-08-17 09:08:22,en,renewal_premium,,v14,0.921,199,434,transferred_human,escalation_policy
C-20260817-00148,2026-08-17 16:20:18,en,network_hospital,,v14,0.964,182,1295,transferred_human,agent_could_not_resolve
C-20260817-00149,2026-08-17 16:59:45,en,network_hospital,,v14,0.922,74,565,contained,
C-20260817-00150,2026-08-17 12:48:35,en,renewal_premium,,v14,0.941,138,391,contained,
C-20260817-00151,2026-08-17 14:04:52,en,claim_status,CL8772926,v14,0.886,53,377,contained,
C-20260817-00152,2026-08-17 20:24:32,en,network_hospital,,v14,0.968,181,312,transferred_human,caller_requested_human
C-20260817-00153,2026-08-17 13:36:48,en,claim_status,CL7162477,v14,0.926,49,465,contained,
C-20260817-00154,2026-08-17 17:54:01,en,renewal_premium,,v14,0.963,131,330,contained,
C-20260817-00155,2026-08-17 12:13:14,en,renewal_premium,,v14,0.835,50,455,contained,
C-20260817-00156,2026-08-17 16:50:17,en,renewal_premium,,v14,0.922,165,552,transferred_human,agent_could_not_resolve
C-20260817-00157,2026-08-17 16:01:43,hi,policy_details,,v14,0.878,85,439,contained,
C-20260817-00158,2026-08-17 14:14:14,en,policy_details,,v14,0.99,120,434,transferred_human,caller_requested_human
C-20260817-00159,2026-08-17 10:06:09,en,renewal_premium,,v14,0.976,147,389,transferred_human,caller_requested_human
C-20260817-00160,2026-08-17 14:59:47,hi,policy_details,,v14,0.939,204,574,transferred_human,agent_could_not_resolve
C-20260817-00161,2026-08-17 15:30:36,en,network_hospital,,v14,0.914,151,343,contained,
C-20260817-00162,2026-08-17 12:29:58,en,claim_status,CL7659836,v14,0.932,148,503,abandoned,
C-20260817-00163,2026-08-17 18:19:09,en,policy_details,,v14,0.99,115,284,contained,
C-20260817-00164,2026-08-17 15:49:52,hi,claim_status,CL8263890,v14,0.726,209,256,transferred_human,out_of_scope
C-20260817-00165,2026-08-17 17:14:46,en,network_hospital,,v14,0.893,156,512,transferred_human,out_of_scope
C-20260817-00166,2026-08-17 17:14:42,en,policy_details,,v14,0.902,127,347,contained,
C-20260817-00167,2026-08-17 13:35:21,en,claim_status,CL7068141,v14,0.798,107,383,contained,
C-20260817-00168,2026-08-17 10:15:37,en,claim_status,CL7187361,v14,0.962,120,431,contained,
C-20260817-00169,2026-08-17 18:01:33,en,claim_status,CL7754548,v14,0.969,237,391,transferred_human,agent_could_not_resolve
C-20260817-00170,2026-08-17 11:39:00,hi,claim_status,CL8640053,v14,0.965,175,438,contained,
C-20260817-00171,2026-08-17 15:14:34,en,claim_status,CL7340905,v14,0.942,120,432,contained,
C-20260817-00172,2026-08-17 19:04:27,hi,claim_status,CL8404229,v14,0.955,129,437,contained,
C-20260817-00173,2026-08-17 13:46:03,en,network_hospital,,v14,0.99,111,533,abandoned,
C-20260817-00174,2026-08-17 13:25:21,en,claim_status,CL8955108,v14,0.904,216,471,transferred_human,caller_requested_human
C-20260817-00175,2026-08-17 17:00:34,en,renewal_premium,,v14,0.956,158,442,transferred_human,caller_requested_human
C-20260817-00176,2026-08-17 12:36:06,en,renewal_premium,,v14,0.92,66,316,contained,
C-20260817-00177,2026-08-17 13:46:16,en,policy_details,,v14,0.956,113,393,contained,
C-20260817-00178,2026-08-17 14:47:57,en,claim_status,CL7274640,v14,0.922,55,400,contained,
C-20260817-00179,2026-08-17 17:27:23,en,renewal_premium,,v14,0.874,117,376,contained,
C-20260817-00180,2026-08-17 16:51:37,en,network_hospital,,v14,0.865,175,426,abandoned,
C-20260817-00181,2026-08-17 19:04:15,en,claim_status,CL7968986,v14,0.976,107,260,contained,
C-20260817-00182,2026-08-17 11:19:53,en,renewal_premium,,v14,0.955,110,462,contained,
C-20260817-00183,2026-08-17 18:30:07,en,network_hospital,,v14,0.972,193,504,contained,
C-20260817-00184,2026-08-17 18:08:33,en,renewal_premium,,v14,0.882,125,504,contained,
C-20260817-00185,2026-08-17 15:05:22,en,renewal_premium,,v14,0.99,120,341,contained,
C-20260817-00186,2026-08-17 13:07:56,hi,network_hospital,,v14,0.895,177,392,contained,
C-20260817-00187,2026-08-17 20:02:33,en,claim_status,CL7177321,v14,0.919,155,525,contained,
C-20260817-00188,2026-08-17 10:07:22,en,claim_status,CL8241092,v14,0.906,55,396,contained,
C-20260817-00189,2026-08-17 10:37:56,en,network_hospital,,v14,0.99,183,288,transferred_human,escalation_policy
C-20260817-00190,2026-08-17 15:56:19,hi,network_hospital,,v14,0.886,186,543,contained,
C-20260817-00191,2026-08-17 20:22:57,en,claim_status,CL8830121,v14,0.927,136,487,contained,
C-20260817-00192,2026-08-17 18:26:38,en,claim_status,CL8494824,v14,0.925,157,345,contained,
C-20260817-00193,2026-08-17 10:20:51,en,network_hospital,,v14,0.912,86,301,contained,
C-20260817-00194,2026-08-17 20:29:49,hi,policy_details,,v14,0.85,141,388,transferred_human,escalation_policy
C-20260817-00195,2026-08-17 13:20:56,en,claim_status,CL8043869,v14,0.923,113,480,contained,
C-20260817-00196,2026-08-17 16:40:20,en,claim_status,CL7411716,v14,0.95,103,304,contained,
C-20260817-00197,2026-08-17 13:16:57,en,network_hospital,,v14,0.932,176,527,contained,
C-20260818-00198,2026-08-18 10:16:18,en,policy_details,,v14,0.946,79,467,contained,
C-20260818-00199,2026-08-18 18:22:13,en,claim_status,CL8727631,v14,0.935,47,344,contained,
C-20260818-00200,2026-08-18 12:52:54,en,renewal_premium,,v14,0.903,155,485,contained,
C-20260818-00201,2026-08-18 20:04:56,en,claim_status,CL8478647,v14,0.967,77,669,contained,
C-20260818-00202,2026-08-18 12:01:53,en,claim_status,CL8229158,v14,0.918,124,353,contained,
C-20260818-00203,2026-08-18 14:17:06,en,renewal_premium,,v14,0.884,209,329,transferred_human,out_of_scope
C-20260818-00204,2026-08-18 14:52:05,en,claim_status,CL7826152,v14,0.99,118,512,contained,
C-20260818-00205,2026-08-18 16:02:36,en,renewal_premium,,v14,0.925,132,362,transferred_human,agent_could_not_resolve
C-20260818-00206,2026-08-18 19:36:21,en,network_hospital,,v14,0.873,81,386,contained,
C-20260818-00207,2026-08-18 15:36:05,en,claim_status,CL7445264,v14,0.922,171,373,transferred_human,out_of_scope
C-20260818-00208,2026-08-18 13:24:18,hi,renewal_premium,,v14,0.836,149,516,contained,
C-20260818-00209,2026-08-18 16:24:03,hi,claim_status,CL8602393,v14,0.91,172,361,contained,
C-20260818-00210,2026-08-18 17:12:06,hi,renewal_premium,,v14,0.906,180,311,transferred_human,escalation_policy
C-20260818-00211,2026-08-18 18:47:37,hi,renewal_premium,,v14,0.906,90,632,contained,
C-20260818-00212,2026-08-18 11:41:05,en,renewal_premium,,v14,0.879,202,438,transferred_human,out_of_scope
C-20260818-00213,2026-08-18 14:32:55,hi,claim_status,CL8359547,v14,0.809,83,447,contained,
C-20260818-00214,2026-08-18 14:58:22,en,renewal_premium,,v14,0.831,129,310,contained,
C-20260818-00215,2026-08-18 11:57:39,en,claim_status,CL7622970,v14,0.957,72,347,contained,
C-20260818-00216,2026-08-18 12:15:06,en,network_hospital,,v14,0.946,85,431,contained,
C-20260818-00217,2026-08-18 12:20:19,en,claim_status,CL8715082,v14,0.97,69,376,contained,
C-20260818-00218,2026-08-18 14:52:00,en,claim_status,CL7951942,v14,0.99,126,383,contained,
C-20260818-00219,2026-08-18 11:31:02,en,renewal_premium,,v14,0.922,140,345,contained,
C-20260818-00220,2026-08-18 10:34:02,en,renewal_premium,,v14,0.99,150,359,contained,
C-20260818-00221,2026-08-18 17:54:16,en,renewal_premium,,v14,0.845,115,489,contained,
C-20260818-00222,2026-08-18 15:40:31,hi,claim_status,CL7717790,v14,0.853,69,464,contained,
C-20260818-00223,2026-08-18 10:54:59,en,policy_details,,v14,0.878,67,485,contained,
C-20260818-00224,2026-08-18 13:55:16,en,claim_status,CL7687028,v14,0.96,104,348,contained,
C-20260818-00225,2026-08-18 12:37:28,en,renewal_premium,,v14,0.807,80,522,contained,
C-20260818-00226,2026-08-18 14:26:00,en,claim_status,CL7740071,v14,0.857,161,395,contained,
C-20260818-00227,2026-08-18 09:52:33,en,network_hospital,,v14,0.849,131,1312,contained,
C-20260818-00228,2026-08-18 20:15:42,hi,renewal_premium,,v14,0.845,165,561,transferred_human,out_of_scope
C-20260818-00229,2026-08-18 14:51:52,en,network_hospital,,v14,0.916,124,432,contained,
C-20260818-00230,2026-08-18 11:49:24,hi,claim_status,CL8029324,v14,0.879,98,442,contained,
C-20260818-00231,2026-08-18 16:43:23,en,claim_status,CL7099182,v14,0.943,136,606,contained,
C-20260818-00232,2026-08-18 12:38:01,en,network_hospital,,v14,0.927,118,549,contained,
C-20260818-00233,2026-08-18 16:06:30,en,network_hospital,,v14,0.99,149,278,contained,
C-20260818-00234,2026-08-18 11:46:33,en,policy_details,,v14,0.943,111,432,contained,
C-20260818-00235,2026-08-18 17:06:52,en,claim_status,CL7667926,v14,0.89,72,500,contained,
C-20260818-00236,2026-08-18 13:32:40,en,policy_details,,v14,0.969,114,448,contained,
C-20260818-00237,2026-08-18 13:42:17,en,claim_status,CL7292375,v14,0.898,147,392,contained,
C-20260818-00238,2026-08-18 12:05:14,en,renewal_premium,,v14,0.908,66,424,contained,
C-20260818-00239,2026-08-18 11:53:23,en,renewal_premium,,v14,0.825,79,427,contained,
C-20260818-00240,2026-08-18 11:15:56,en,claim_status,CL7001458,v14,0.911,130,445,transferred_human,caller_requested_human
C-20260818-00241,2026-08-18 20:09:18,en,claim_status,CL8800168,v14,0.871,32,422,contained,
C-20260818-00242,2026-08-18 20:00:53,en,claim_status,CL8525170,v14,0.906,139,433,contained,
C-20260818-00243,2026-08-18 14:42:02,en,claim_status,CL7826457,v14,0.926,151,519,contained,
C-20260818-00244,2026-08-18 14:00:52,en,claim_status,CL7856417,v14,0.957,116,414,contained,
C-20260818-00245,2026-08-18 18:52:58,en,claim_status,CL7929545,v14,0.982,53,547,contained,
C-20260818-00246,2026-08-18 11:39:46,en,policy_details,,v14,0.869,145,550,transferred_human,escalation_policy
C-20260818-00247,2026-08-18 13:33:50,hi,claim_status,CL8279188,v14,0.843,53,340,contained,
C-20260818-00248,2026-08-18 09:19:07,en,policy_details,,v14,0.893,140,471,abandoned,
C-20260818-00249,2026-08-18 13:17:18,en,claim_status,CL7951254,v14,0.934,154,371,contained,
C-20260818-00250,2026-08-18 09:45:02,en,claim_status,CL7699572,v14,0.944,107,399,contained,
C-20260818-00251,2026-08-18 13:48:50,en,policy_details,,v14,0.913,134,529,contained,
C-20260818-00252,2026-08-18 09:49:42,en,network_hospital,,v14,0.922,135,340,transferred_human,escalation_policy
C-20260818-00253,2026-08-18 15:01:03,en,renewal_premium,,v14,0.99,151,336,transferred_human,caller_requested_human
C-20260818-00254,2026-08-18 17:10:08,en,claim_status,CL7358071,v14,0.923,47,337,contained,
C-20260818-00255,2026-08-18 13:25:14,en,policy_details,,v14,0.942,139,377,transferred_human,out_of_scope
C-20260818-00256,2026-08-18 11:31:47,hi,renewal_premium,,v14,0.836,199,269,transferred_human,caller_requested_human
C-20260818-00257,2026-08-18 19:19:09,en,network_hospital,,v14,0.989,249,478,abandoned,
C-20260818-00258,2026-08-18 11:27:23,en,renewal_premium,,v14,0.838,124,427,contained,
C-20260818-00259,2026-08-18 15:15:52,hi,renewal_premium,,v14,0.888,91,507,contained,
C-20260818-00260,2026-08-18 19:25:00,en,renewal_premium,,v14,0.98,115,362,transferred_human,escalation_policy
C-20260818-00261,2026-08-18 20:55:41,en,renewal_premium,,v14,0.895,81,338,contained,
C-20260818-00262,2026-08-18 16:42:59,en,claim_status,CL8270978,v14,0.974,144,540,contained,
C-20260818-00263,2026-08-18 17:31:46,en,renewal_premium,,v14,0.975,65,376,contained,
C-20260818-00264,2026-08-18 16:43:32,en,policy_details,,v14,0.99,72,433,contained,
C-20260818-00265,2026-08-18 18:47:16,hi,renewal_premium,,v14,0.909,158,452,transferred_human,caller_requested_human
C-20260818-00266,2026-08-18 12:08:17,en,claim_status,CL8050038,v14,0.891,147,410,contained,
C-20260818-00267,2026-08-18 13:38:20,en,renewal_premium,,v14,0.94,106,374,contained,
C-20260818-00268,2026-08-18 14:04:08,en,claim_status,CL8276532,v14,0.942,179,531,contained,
C-20260818-00269,2026-08-18 09:16:53,en,claim_status,CL8422261,v14,0.896,107,502,contained,
C-20260818-00270,2026-08-18 11:21:05,en,claim_status,CL7782802,v14,0.946,109,523,contained,
C-20260818-00271,2026-08-18 16:01:31,en,policy_details,,v14,0.977,123,571,contained,
C-20260818-00272,2026-08-18 09:50:26,en,network_hospital,,v14,0.99,97,297,contained,
C-20260818-00273,2026-08-18 19:57:56,en,network_hospital,,v14,0.92,134,388,transferred_human,agent_could_not_resolve
C-20260818-00274,2026-08-18 19:22:05,en,claim_status,CL7288099,v14,0.934,113,451,contained,
C-20260818-00275,2026-08-18 17:55:00,en,claim_status,CL7004129,v14,0.921,106,440,contained,
